#Gene_name	LTL331_pre_Cx (bio1)	LTL331_pre_Cx (bio2)	LTL331_Cx_8wk	LTL331_Cx_12wk	LTL331_Cx_relapsed_NEPC (bio1)	LTL331_Cx_relapsed_NEPC (bio2)
GNB4	540 	2135 	669 	755 	1339 	1958 
PRPS1	2563 	2198 	1662 	1346 	2224 	3270 
TCEA1P2	23 	45 	23 	19 	22 	18 
TMEM55A	1375 	1329 	870 	765 	653 	873 
PUS7	1658 	2138 	1133 	1073 	1312 	1443 
MAD2L1BP	1696 	1107 	797 	793 	1064 	1379 
POP1	1321 	1528 	819 	806 	1886 	2250 
RPL41	76921 	48461 	40935 	35463 	33703 	37924 
TLN2	1973 	4919 	3427 	1949 	222 	419 
DPAGT1	4403 	3964 	2728 	2367 	2023 	1999 
PDHB	3501 	2730 	1959 	1763 	2998 	3336 
KCTD5	2158 	2202 	1202 	1234 	2467 	3168 
RRP9	642 	803 	545 	409 	587 	757 
ZNF833P	202 	216 	160 	119 	613 	490 
AP2M1	16315 	14539 	11521 	8738 	11952 	13137 
PTPRCAP	909 	549 	463 	413 	276 	206 
RAD51C	1536 	1357 	1030 	820 	1648 	2197 
RPUSD2	427 	215 	158 	182 	312 	619 
EBNA1BP2	3469 	2247 	1715 	1620 	3647 	3150 
SEPT9	21373 	29133 	15975 	14314 	5119 	6238 
WIPI1	794 	1427 	606 	630 	85 	140 
RPN1	18265 	15293 	10243 	9516 	9873 	15522 
NOP58	7088 	4214 	3547 	3205 	5054 	5643 
WASH3P	1869 	999 	784 	813 	1408 	1213 
RPP21	955 	788 	514 	494 	573 	919 
SBDSP1	1331 	984 	886 	657 	1264 	1227 
TRAPPC3	4212 	2527 	2076 	1912 	2258 	2303 
TMEM261	3302 	2184 	1727 	1556 	1065 	1080 
RFC2	2461 	1929 	1606 	1246 	4163 	3659 
TNFRSF1A	4526 	1599 	1556 	1738 	1060 	1028 
QTRT1	3443 	3343 	2553 	1926 	2092 	1754 
SEPHS2	6300 	5069 	3380 	3227 	1998 	2557 
FAH	1082 	789 	846 	531 	136 	112 
SSBP1	2527 	2322 	1499 	1376 	1738 	2507 
GOLGA7	2326 	1486 	1098 	1082 	1381 	1179 
ZNF414	2124 	1198 	1178 	943 	1513 	1667 
LRRC45	2963 	3542 	2247 	1848 	3252 	2094 
C1D	2164 	1280 	1222 	978 	1316 	1293 
UBE2G1	8732 	8642 	5124 	4937 	3394 	4669 
CCNF	1992 	2491 	1705 	1274 	9279 	10395 
BRI3	3216 	1361 	1906 	1301 	889 	704 
RPS29	18313 	8563 	7763 	7640 	4434 	6592 
GLTPD1	3501 	2139 	1657 	1604 	1758 	1455 
NXT1	1174 	523 	465 	483 	1091 	1022 
RASSF7	2002 	832 	866 	806 	682 	347 
MRPL53	725 	466 	381 	339 	505 	522 
VAMP8	3690 	1912 	1519 	1594 	292 	102 
KLHDC9	1210 	632 	610 	524 	363 	242 
CHCHD5	1284 	734 	755 	575 	947 	1116 
RPL27	24752 	21496 	14618 	13165 	8166 	12483 
KIAA0895L	2674 	1864 	1681 	1292 	3394 	2934 
MTG1	1258 	1434 	809 	767 	1070 	858 
RAB6C	853 	1009 	489 	530 	0 	1 
DNAJC8	5014 	4084 	2950 	2592 	3434 	3909 
GATSL3	183 	116 	124 	85 	52 	47 
MED4	1929 	1148 	944 	877 	1338 	1421 
UBE2D2	6863 	4669 	3486 	3286 	7573 	6869 
STAM	3551 	3879 	2457 	2118 	2006 	2731 
SLC29A2	2742 	2815 	2060 	1584 	2720 	1870 
ACAT1	2863 	2645 	2052 	1570 	1435 	1599 
BRINP1	65 	39 	23 	30 	4429 	4520 
SERGEF	525 	173 	254 	199 	233 	179 
WASIR2	104 	173 	129 	79 	26 	54 
SMIM4	1461 	716 	1035 	621 	436 	585 
TAF6L	1836 	1449 	1213 	937 	1601 	1670 
SELO	1669 	979 	859 	756 	2109 	1696 
PDE6D	1150 	562 	596 	489 	2290 	1636 
ACP1	7723 	5568 	3856 	3794 	4886 	5046 
JUND	11540 	6749 	4024 	5221 	25249 	16547 
APLP1	1987 	1756 	1757 	1069 	23357 	13112 
PSMD10	3478 	2505 	1802 	1709 	2796 	2913 
CCDC7	361 	455 	261 	233 	383 	328 
GPS1	9266 	9348 	6848 	5316 	6992 	6359 
LLPH	1208 	1013 	569 	635 	668 	1186 
OSTM1	2116 	2447 	1593 	1304 	1482 	1192 
TBC1D7	1142 	686 	521 	522 	854 	664 
TLE1	8432 	8664 	5167 	4885 	1263 	1951 
PSMC4	5280 	4851 	3323 	2895 	4448 	5203 
FRG1	1697 	838 	746 	724 	1355 	1283 
PSMG1	704 	456 	461 	331 	392 	378 
EPHX2	3541 	3911 	2800 	2130 	153 	146 
SLC17A5	5040 	7071 	4278 	3463 	1543 	1574 
ILVBL	3690 	3863 	2684 	2160 	4609 	4071 
VAMP2	11851 	6136 	6768 	5144 	5855 	7554 
RPSAP58	669 	367 	356 	296 	388 	278 
INHBB	2715 	2575 	2109 	1515 	1053 	859 
OR2W3	133 	152 	81 	82 	42 	77 
OAS1	3550 	1215 	667 	1365 	1022 	696 
KRT18P6	23 	13 	25 	10 	23 	5 
TMEM150A	1191 	877 	791 	593 	99 	44 
KCNMA1	2516 	13657 	8060 	4636 	29217 	24210 
TXNDC9	2547 	1851 	1193 	1261 	2173 	2423 
SCGB1B2P	77 	19 	63 	27 	20 	12 
ARF6	5050 	7350 	4510 	3556 	3022 	3125 
IVD	9012 	5992 	5010 	4304 	4491 	4046 
HOXD1	975 	162 	374 	326 	277 	424 
RRP1	2105 	1492 	1088 	1032 	1675 	1834 
PCDHB5	3596 	4019 	3115 	2185 	702 	1340 
CHMP5	6129 	4312 	3366 	2997 	2903 	2799 
MRPS9	1646 	1108 	764 	791 	1020 	1249 
FTL	30467 	11712 	16339 	12111 	6174 	6869 
CD27-AS1	2136 	1019 	1181 	906 	1251 	1311 
KLC2	4981 	4582 	3089 	2747 	8073 	7530 
TBL1X	3583 	6336 	3008 	2851 	5336 	5214 
KDELR2	20837 	14488 	11734 	10155 	7347 	7985 
RASGEF1C	66 	70 	57 	39 	3 	3 
SETD6	1133 	1106 	669 	644 	1080 	1033 
CCDC169	121 	134 	77 	73 	13 	17 
MSRA	272 	104 	150 	108 	113 	52 
PHF14	6112 	3367 	2764 	2727 	4872 	5221 
PPP3CA	45406 	49643 	48475 	27344 	1930 	2299 
FBL	4083 	3418 	2846 	2158 	4453 	5654 
SLC25A32	2126 	1860 	1062 	1147 	2723 	3360 
ETFB	3393 	2593 	2163 	1723 	1491 	1972 
TESK1	5567 	3989 	2827 	2751 	3303 	2643 
LZTS1	247 	247 	167 	142 	2026 	3624 
C17orf59	451 	441 	252 	257 	332 	382 
TMED1	672 	620 	363 	372 	366 	456 
RMI2	2634 	1436 	1482 	1172 	3416 	2838 
ZNF598	5011 	4302 	2546 	2682 	7371 	6612 
TOMM7	6823 	3184 	3551 	2882 	3147 	3665 
DPH2	2037 	2058 	1372 	1180 	2256 	2824 
RCOR2	119 	86 	64 	59 	3577 	4274 
TCTA	3129 	2626 	2252 	1659 	2504 	2862 
IGSF8	2520 	2664 	1937 	1494 	1703 	1547 
DHRS11	1840 	2155 	1604 	1152 	822 	844 
TRPV6	21688 	39399 	13176 	17616 	32 	8 
IFIT1	1710 	273 	193 	572 	43 	49 
HADHAP1	42 	72 	33 	33 	324 	642 
IDH3B	2965 	3098 	2293 	1749 	3340 	3876 
UBB	40076 	27125 	28379 	19383 	30007 	43199 
STAG3L4	1160 	866 	967 	585 	1029 	910 
TPGS1	1219 	601 	528 	525 	2404 	2563 
TMEM38A	2431 	1786 	1543 	1217 	472 	476 
CCDC106	2458 	1634 	1325 	1181 	2280 	2189 
RPS27A	27203 	20182 	14502 	13680 	11752 	17212 
FAM200B	3166 	1997 	1629 	1491 	3479 	3485 
AES	18465 	12700 	10458 	8998 	32789 	26451 
TMEM128	2575 	1710 	1445 	1237 	2030 	1941 
GOLGA8A	9259 	4198 	4274 	3887 	11096 	6848 
SPAG7	1311 	870 	753 	630 	789 	868 
RN7SL1	8080 	15211 	1882 	6729 	2711 	8874 
VDAC3	2749 	1885 	1422 	1339 	3982 	3447 
PTGES2	3478 	2733 	1933 	1795 	3789 	4050 
BPIFB1	32 	87 	28 	34 	1 	1 
DUS1L	10041 	8819 	6159 	5452 	6692 	5685 
EFNA4	1143 	477 	422 	468 	301 	182 
RHBDD2	12842 	6762 	6732 	5671 	7338 	6765 
MRPL55	2437 	1064 	1087 	1013 	1120 	932 
FZD1	3868 	6182 	3020 	2907 	5411 	4721 
HSP90AB3P	55 	74 	49 	37 	24 	29 
UBL7	2567 	1635 	1504 	1216 	2043 	2021 
DGCR6	643 	441 	362 	313 	895 	705 
ATP6V1B1	348 	173 	193 	151 	174 	193 
C5orf38	816 	458 	378 	369 	5435 	2622 
PKP3	2618 	2762 	1547 	1558 	1603 	1563 
ATP5O	4973 	2980 	2467 	2303 	3835 	5067 
SFT2D1	3384 	2532 	2118 	1713 	763 	880 
PRDX5	4178 	2416 	2315 	1910 	2040 	2333 
PARL	3061 	2434 	1796 	1592 	1896 	2334 
GOLGA6L5P	436 	831 	242 	367 	297 	453 
GRIN2D	372 	451 	456 	239 	5067 	5828 
PPP1R12C	5219 	3303 	2322 	2470 	5831 	4025 
MRGBP	1544 	854 	680 	695 	1081 	1062 
BOP1	107 	245 	118 	102 	251 	354 
DAP	17618 	15074 	11051 	9477 	8276 	9892 
LSMEM2	69 	27 	26 	28 	74 	85 
PSTPIP2	479 	1031 	161 	438 	77 	91 
GRB14	90 	79 	61 	49 	85 	64 
NOP56	8806 	5412 	4953 	4123 	11853 	11476 
RPS6KL1	1719 	1300 	1156 	875 	4446 	3415 
C2orf48	19 	88 	38 	31 	293 	496 
KCMF1	3892 	2906 	1882 	1972 	3197 	3958 
SRPK3	699 	560 	450 	365 	2649 	1284 
SETD3	4625 	3914 	2389 	2477 	3245 	3051 
FOXL2	765 	688 	486 	422 	2 	4 
R3HDM4	3446 	2360 	1539 	1685 	1414 	1735 
TSTD1	5259 	2904 	2780 	2370 	1040 	858 
PPP2R3C	1699 	979 	837 	778 	1609 	1712 
CCDC34	594 	470 	310 	309 	1569 	1218 
SNX3	11461 	6659 	5296 	5264 	5387 	5030 
LOXL2	451 	430 	329 	256 	84 	112 
AUP1	8020 	5212 	4136 	3844 	6799 	6174 
MORC4	2302 	2161 	1732 	1297 	1119 	1085 
APEX1	11546 	9372 	7511 	6079 	8383 	10922 
EIF3M	2884 	2089 	1553 	1446 	2480 	2914 
AK1	551 	439 	289 	288 	665 	649 
GABPB1	2253 	1756 	1123 	1166 	2055 	2383 
LMNB2	5239 	8833 	6069 	4093 	16675 	16809 
OAT	795 	979 	621 	516 	1044 	918 
NUDCD2	3391 	2313 	1760 	1660 	2402 	3138 
CD151	10312 	5686 	5518 	4656 	2708 	1643 
TMEM191A	209 	101 	107 	90 	94 	97 
PDE2A	40 	130 	30 	50 	792 	1431 
MORF4L1P1	62 	54 	35 	34 	49 	50 
OTUB1	8209 	5598 	4351 	4020 	6067 	6476 
CNIH1	5851 	3712 	3116 	2785 	2965 	2732 
SOX7	338 	213 	299 	161 	23 	27 
TRMT10C	1439 	1119 	756 	745 	1053 	1367 
ERGIC1	20529 	27531 	23286 	14000 	269 	480 
GIPC1	5968 	4343 	2982 	3004 	2880 	2249 
PKN1	12934 	9883 	7602 	6648 	12816 	10344 
PSMB3	6071 	5016 	3971 	3231 	3167 	3901 
RPL23A	37363 	28764 	24596 	19273 	16764 	20450 
C9orf163	258 	174 	157 	126 	419 	429 
PRR7	1693 	1309 	942 	875 	1547 	1840 
CCDC59	1488 	874 	682 	689 	1455 	1354 
GPR27	520 	222 	290 	216 	694 	1929 
SLC39A4	1177 	763 	747 	566 	1639 	1271 
RHOA	32336 	23031 	17177 	16160 	23916 	22909 
TMEM229B	2531 	3238 	2237 	1684 	51 	40 
EPHX1	19465 	19279 	14920 	11315 	6533 	4300 
MYOM2	126 	44 	55 	50 	394 	304 
UBE2I	8431 	5571 	4488 	4091 	9587 	11447 
AP3S1	2437 	1466 	1012 	1141 	3531 	2792 
NECAP1	2971 	1475 	1266 	1300 	3096 	3716 
NDN	2006 	1525 	1050 	1032 	614 	197 
LSM1	1875 	1448 	1006 	972 	1278 	1594 
ZCCHC18	82 	94 	59 	52 	361 	413 
PDCD10	3245 	2809 	1919 	1771 	1650 	1962 
ALYREF	2737 	2387 	2177 	1500 	3658 	3816 
KIAA0020	1494 	1419 	790 	853 	1335 	1434 
ELL2	6551 	7137 	4002 	4007 	823 	1513 
CHN2	387 	506 	83 	262 	3999 	3434 
E2F7	419 	617 	338 	303 	5464 	4645 
ZC3H15	3828 	2864 	2002 	1959 	3216 	3846 
RASGRF2	199 	134 	69 	97 	72 	57 
KCTD15	4142 	4674 	3089 	2582 	3323 	2842 
TMEM66	13897 	9325 	7705 	6801 	4613 	4108 
CCDC91	2407 	1592 	1190 	1171 	1365 	852 
SEPT5	5437 	6744 	4429 	3568 	7200 	6809 
CSTB	5169 	2754 	2367 	2321 	1617 	1657 
OR7E14P	196 	120 	78 	93 	386 	231 
COPS8	5024 	3608 	2950 	2529 	4523 	4474 
NOL7	2128 	1403 	1344 	1035 	1220 	1267 
ODF2-AS1	18 	14 	21 	10 	68 	53 
ST8SIA6-AS1	2886 	1922 	1650 	1409 	633 	497 
GPT2	2502 	2684 	2154 	1520 	1547 	1179 
ADRA2A	2126 	8937 	15466 	3244 	2222 	939 
FAM171A2	1050 	1964 	1093 	884 	2339 	2201 
PLEKHB2	10226 	8767 	6393 	5570 	4294 	4741 
ATL1	817 	491 	277 	384 	1089 	1310 
RAD23A	10136 	5269 	5286 	4520 	8431 	6296 
RPS15A	24824 	22058 	16230 	13758 	9821 	17586 
CIB2	1610 	1104 	850 	797 	8723 	3180 
CSK	7090 	5104 	4193 	3580 	4936 	5190 
MAGED2	15566 	13729 	13125 	8600 	15811 	10289 
CFD	421 	360 	368 	229 	180 	241 
OCIAD2	3253 	2255 	1562 	1617 	2466 	2809 
PNMA1	6974 	7574 	3614 	4272 	10499 	10680 
RETSAT	5392 	7007 	4702 	3641 	1707 	1332 
SHMT2	3207 	2870 	2196 	1785 	4226 	5124 
ELAVL1	8474 	6511 	5100 	4401 	11027 	11355 
PSMC1	5642 	3853 	3186 	2789 	3838 	4796 
SYDE1	449 	169 	194 	182 	27 	32 
CDK5R1	657 	1164 	635 	535 	2094 	3191 
MPP3	577 	839 	477 	416 	267 	279 
HOXA4	84 	39 	35 	36 	232 	338 
CD8BP	109 	168 	93 	82 	117 	48 
POLR3F	1356 	1187 	744 	748 	1446 	1519 
MESDC2	4843 	3742 	2810 	2525 	2894 	3013 
CCDC126	745 	641 	406 	407 	1403 	1083 
SQLE	5828 	10203 	3976 	4716 	4893 	5661 
PAICS	13293 	15157 	11573 	8369 	9349 	10459 
CCDC160	911 	548 	290 	429 	25 	8 
TMEM54	5662 	3793 	3443 	2783 	1487 	999 
SYNM	883 	1307 	799 	645 	5552 	6424 
ZNF589	3885 	5265 	2527 	2695 	2725 	2126 
TATDN2	3362 	2818 	1885 	1820 	3025 	2924 
EPHA7	3205 	7142 	1737 	3049 	2721 	1564 
BMS1P4	196 	172 	110 	109 	154 	117 
HPCAL1	3368 	2632 	1811 	1769 	9690 	6369 
SPIN2B	163 	127 	94 	86 	85 	73 
ADO	6012 	5237 	3548 	3316 	6831 	7201 
CST3	8153 	3269 	3514 	3369 	2387 	1659 
TMED2	23318 	17478 	13077 	12037 	11893 	10159 
COMMD10	894 	815 	522 	505 	575 	370 
PLCB4	3671 	3622 	2019 	2152 	4551 	3675 
SCARNA13	27 	16 	22 	13 	21 	27 
ZNF580	5717 	3129 	3265 	2612 	3495 	3113 
EEF1A2	6586 	14982 	10020 	6370 	26394 	18093 
KLRF1	103 	61 	56 	48 	29 	7 
EIF3J	4535 	4079 	2613 	2544 	2904 	3242 
HDDC3	605 	397 	394 	296 	418 	454 
SFXN2	1356 	1431 	1167 	824 	953 	939 
LAMTOR1	5761 	3589 	3804 	2763 	3543 	3505 
AAMP	5770 	5915 	4470 	3454 	4431 	4597 
FAM96A	3404 	2035 	1807 	1608 	1929 	1810 
ANXA5	12304 	7910 	7253 	5975 	5354 	3170 
CRELD2	1400 	1015 	896 	714 	1386 	1681 
ZNF738	747 	942 	640 	499 	1277 	1708 
SMPD1	2060 	1306 	1175 	995 	878 	717 
LIMD2	2418 	1298 	1128 	1099 	3248 	2664 
GPR83	49 	16 	24 	19 	23 	32 
CALM2	26682 	19596 	15143 	13690 	60689 	57805 
EEFSEC	2358 	1697 	1657 	1200 	1150 	1439 
SCFD2	327 	463 	301 	234 	578 	599 
ZBTB8A	1775 	3920 	1900 	1686 	1296 	1764 
SMIM11	1289 	720 	718 	595 	884 	961 
CMAS	3024 	2138 	1518 	1529 	2609 	2661 
CLEC4A	80 	11 	29 	27 	105 	76 
CTSZ	3456 	4884 	2862 	2471 	1065 	1364 
DHRS3	12520 	3896 	4191 	4865 	2083 	2391 
TIGD1	1297 	776 	662 	615 	1101 	1329 
COCH	14090 	13562 	17985 	8197 	2528 	2051 
MGMT	718 	425 	396 	339 	227 	245 
METTL9	11490 	6869 	5315 	5443 	4835 	5169 
TMA16	1223 	1214 	787 	723 	1180 	1311 
UBE2R2	9713 	8496 	5757 	5401 	6203 	7855 
TOMM5	962 	879 	614 	546 	1142 	1568 
PEX11G	411 	254 	288 	197 	191 	139 
MKKS	3933 	1810 	1962 	1705 	3031 	3023 
BOLA3-AS1	304 	352 	346 	195 	253 	365 
CCDC12	1494 	883 	797 	706 	853 	1145 
CD8B	152 	215 	145 	109 	84 	44 
NDUFB1	1999 	1354 	1171 	996 	1371 	1618 
TTYH2	596 	1396 	761 	592 	1220 	1341 
ATP6V1E2	586 	840 	624 	424 	288 	292 
CSNK2B	5802 	3862 	3267 	2871 	3351 	3961 
IMPAD1	25363 	27387 	17531 	15675 	13587 	13637 
CCDC116	61 	20 	39 	24 	101 	99 
TGFB1I1	2398 	2120 	1676 	1343 	2644 	1882 
FAM58A	723 	488 	411 	360 	415 	448 
AP1B1	7408 	6938 	5318 	4264 	10698 	10527 
TUBA4A	1075 	865 	340 	577 	7249 	7656 
HERC3	2804 	3623 	1600 	1912 	1247 	670 
DNAJA1	12520 	9566 	6661 	6569 	9150 	12212 
LAT2	341 	308 	214 	193 	438 	483 
DDX12P	618 	365 	369 	292 	3817 	2575 
KLHL17	1044 	987 	646 	604 	909 	682 
SLC25A27	10148 	7703 	6075 	5312 	1023 	525 
RNF208	1203 	715 	899 	571 	472 	467 
TMEM97	3840 	5449 	4110 	2765 	4385 	5473 
UHRF1	3046 	3427 	2930 	1927 	8645 	7720 
RAD54B	484 	458 	293 	280 	1026 	914 
NPM1	23126 	17775 	13617 	12177 	16277 	22856 
MDH2	10396 	8846 	7259 	5729 	7566 	8442 
TMEM86B	507 	261 	231 	229 	588 	500 
DENR	4798 	3439 	2726 	2454 	2342 	2072 
PUF60	10356 	10903 	8125 	6333 	9694 	13236 
SERTM1	81 	39 	82 	36 	14 	15 
SEC11A	9304 	5565 	5196 	4431 	3145 	2934 
SLC27A3	2250 	1739 	1236 	1189 	2434 	1713 
PRDM8	597 	1061 	543 	494 	1577 	3594 
GLRX	1297 	965 	671 	674 	229 	390 
DNAJC4	3508 	1703 	2056 	1554 	1774 	1264 
USP14	8175 	9258 	5900 	5198 	6875 	7599 
CD81	10644 	5540 	5277 	4826 	4034 	3412 
RAB37	200 	269 	225 	140 	17 	13 
TBX5	591 	559 	355 	343 	24 	27 
LIN37	475 	211 	181 	205 	413 	390 
TMEM230	8573 	5144 	4761 	4093 	4468 	4103 
HERPUD1	5660 	5306 	3502 	3273 	836 	1537 
TMEM109	7574 	5908 	3898 	4024 	3867 	4493 
RNF138	3403 	2876 	1991 	1874 	8179 	7103 
ZNF667-AS1	3452 	2342 	2378 	1730 	989 	1721 
MRPS24	476 	1001 	494 	441 	299 	794 
RNF41	5202 	6082 	3548 	3370 	3279 	4120 
PAK6	1023 	508 	597 	457 	417 	592 
ZNF579	2161 	1417 	1042 	1069 	2314 	2322 
NSMAF	3622 	4452 	2860 	2414 	2654 	3866 
C10orf32	2209 	1814 	1284 	1203 	1155 	1077 
DAND5	221 	166 	151 	116 	236 	195 
LSM7	2918 	1445 	1506 	1305 	1406 	1972 
GAR1	1114 	760 	527 	561 	691 	901 
NDUFB4	6755 	4582 	5894 	3393 	3691 	4611 
NPEPL1	2999 	2884 	1882 	1761 	1463 	1297 
PATE4	51 	48 	50 	30 	210 	216 
CER1	23 	20 	47 	13 	328 	88 
VPS28	9243 	4671 	5065 	4165 	6466 	5921 
PUS3	415 	282 	245 	209 	378 	471 
CNDP2	7269 	5018 	3808 	3679 	2040 	1919 
RUVBL2	5087 	4516 	3437 	2875 	6041 	6641 
GEN1	2047 	2357 	1339 	1319 	5344 	5006 
ELK4	24421 	39564 	20577 	19161 	2663 	3886 
CARS2	2709 	1826 	1582 	1358 	3004 	1788 
RSL24D1	4635 	3485 	2407 	2432 	4000 	4601 
RAB35	3133 	3563 	2057 	2006 	2632 	3027 
GUCD1	6890 	7486 	4052 	4307 	5446 	6640 
HMCES	3416 	2691 	1953 	1830 	1875 	2826 
ALDH1A3	13844 	9150 	3839 	6891 	1763 	2096 
CA5B	1898 	3968 	1562 	1758 	580 	558 
CALM3	18711 	20491 	17125 	11749 	43842 	36828 
MED31	345 	230 	200 	172 	214 	220 
EPDR1	4431 	4143 	2515 	2570 	19 	4 
ISCA2	1833 	1160 	1121 	897 	1093 	952 
FAM132B	46 	90 	37 	41 	5849 	2697 
ADAMTS5	40 	42 	51 	25 	51 	22 
CRISPLD1	12328 	26814 	15173 	11744 	94 	47 
HOXA13	10562 	8814 	7711 	5814 	22 	13 
FAIM3	180 	106 	63 	86 	37 	46 
PRKRIP1	3867 	2695 	1812 	1970 	2168 	2237 
DARS	8112 	5543 	4628 	4100 	6720 	5515 
PSMA5	5525 	4111 	2956 	2893 	2250 	2913 
MBD2	2930 	1491 	1223 	1328 	1441 	1341 
DDX56	6160 	4269 	3554 	3132 	11816 	9253 
SUCLG1	3386 	2257 	2155 	1695 	2346 	2367 
WNT3	608 	747 	513 	407 	13 	23 
COX7A2L	5461 	3969 	3095 	2834 	3107 	3772 
APEH	4453 	6123 	3747 	3181 	3573 	4149 
AIMP2	917 	928 	571 	555 	662 	927 
CNTFR	659 	1178 	1012 	552 	493 	1841 
ID4	127 	236 	182 	109 	11459 	6527 
SEMA3B	3076 	2705 	1736 	1741 	4126 	2152 
CYB5R4	1898 	1358 	955 	981 	2106 	2371 
ZNF239	963 	714 	670 	505 	657 	602 
REEP2	601 	542 	614 	344 	2231 	1562 
TRIM28	19665 	23083 	16463 	12883 	28587 	37550 
SAAL1	393 	303 	219 	210 	474 	551 
FAM189B	4169 	4011 	2799 	2467 	4319 	4306 
PBDC1	1321 	734 	624 	620 	531 	502 
APH1B	4614 	4510 	3597 	2753 	2210 	1736 
C4orf27	1646 	1263 	811 	878 	1240 	1263 
KIAA1257	316 	384 	152 	211 	68 	84 
TMEM175	4820 	4186 	2854 	2719 	5371 	3913 
SHROOM2	3729 	4573 	2921 	2506 	4684 	3501 
MSRB1	1201 	995 	770 	663 	402 	385 
RAB3A	373 	313 	353 	207 	1028 	1132 
MTA2	4576 	7997 	4460 	3796 	10232 	12454 
THOC3	639 	828 	427 	443 	1132 	1599 
RHOBTB1	4240 	3409 	1429 	2311 	2277 	1903 
RCAN1	1217 	856 	510 	626 	2752 	2933 
FAM201B	87 	64 	58 	46 	65 	64 
BCL7B	3772 	2403 	1986 	1866 	3284 	4198 
SPG21	4629 	3475 	2469 	2449 	2418 	1896 
EIF2S1	5157 	5676 	3576 	3274 	4713 	5432 
LENG1	380 	297 	194 	205 	326 	412 
OAZ3	1115 	631 	662 	528 	162 	147 
TDG	3353 	3652 	2049 	2119 	4597 	6422 
TACSTD2	18989 	14140 	10317 	10025 	150 	51 
CDH6	61 	52 	188 	34 	31 	11 
SRSF9	10458 	7825 	6936 	5538 	6117 	7043 
ST13	13059 	10437 	9014 	7117 	9444 	12021 
TEKT5	133 	43 	60 	54 	12 	5 
DNAJC1	1520 	873 	555 	725 	1049 	1158 
SMCR5	43 	66 	30 	33 	311 	450 
LACC1	421 	429 	158 	258 	155 	184 
DCAF12L2	279 	324 	213 	183 	57 	92 
SIGIRR	4639 	2267 	2271 	2093 	2323 	947 
MTHFD2	3934 	4702 	3165 	2617 	8122 	9351 
MED11	819 	545 	473 	413 	422 	501 
ABHD11	4520 	3278 	1796 	2364 	2260 	1825 
AGAP2-AS1	100 	81 	39 	55 	509 	699 
THOP1	9190 	7800 	6710 	5156 	6307 	4879 
KRT19	28333 	14314 	12060 	12942 	7868 	6795 
RBBP8NL	916 	472 	430 	421 	503 	207 
PEX11B	1811 	1166 	1033 	904 	841 	679 
CS	15925 	16551 	11717 	9860 	18055 	19199 
ZNF358	6776 	3777 	3159 	3204 	4894 	4459 
PRUNE2	8021 	8296 	6609 	4956 	7578 	4234 
CLPTM1	14245 	13660 	9420 	8476 	10601 	9681 
LDHB	7622 	7888 	7076 	4714 	4557 	6781 
PHB	5308 	7875 	5761 	4007 	2737 	3457 
PFDN6	1192 	1136 	692 	707 	1026 	1188 
SUB1	13325 	10009 	8800 	7092 	7520 	6962 
ALKBH3	900 	542 	394 	438 	484 	548 
ANO8	3809 	4584 	2512 	2552 	3284 	2759 
NAA20	2663 	2153 	1528 	1464 	1761 	1930 
FKBPL	333 	205 	222 	164 	380 	428 
ADSL	1362 	1211 	1031 	783 	2125 	2618 
PLEKHN1	418 	593 	316 	308 	13 	4 
RNF25	1951 	1433 	1031 	1030 	1334 	1747 
RAB6C-AS1	1124 	1014 	497 	650 	2 	1 
GSS	4373 	3140 	2673 	2286 	2262 	2102 
LYRM5	1600 	1062 	751 	810 	1504 	1383 
C16orf74	158 	47 	73 	62 	29 	43 
NUTF2	2077 	2033 	1570 	1251 	1613 	2216 
LRRN4CL	50 	17 	46 	21 	114 	78 
FBXL19-AS1	2246 	2062 	1056 	1311 	2810 	4531 
APOPT1	1604 	708 	759 	704 	773 	686 
AGAP8	534 	307 	277 	256 	276 	244 
PSME2	8493 	4184 	3572 	3862 	3372 	2656 
TIGD3	239 	154 	164 	120 	330 	284 
MOCS2	2987 	2556 	2297 	1689 	2251 	2182 
CREB3	3453 	1966 	1725 	1651 	1552 	1429 
GNB1	31969 	31380 	23139 	19304 	40207 	42004 
MRPL44	1548 	1234 	899 	848 	1199 	1394 
PDCD5	2746 	1446 	1363 	1277 	1808 	2115 
ZNF513	2286 	1578 	1271 	1178 	1866 	1905 
SIRT6	1540 	991 	825 	771 	1664 	1747 
TBL2	2851 	2717 	1688 	1697 	1984 	2067 
CCNC	8900 	6861 	5145 	4804 	2872 	3300 
SMC4	3713 	7335 	4008 	3368 	23810 	26399 
EVI5L	2584 	2809 	2085 	1644 	2453 	2174 
UBA6-AS1	1203 	780 	648 	605 	832 	753 
MTMR9LP	1521 	993 	815 	767 	866 	611 
DPM3	1451 	815 	986 	692 	572 	751 
VTI1B	5245 	7608 	4697 	3923 	2426 	2493 
AP1S1	2072 	2169 	1442 	1294 	1172 	1234 
DTL	987 	1385 	1138 	724 	4033 	4924 
CDC42EP3	5017 	4227 	1812 	2823 	6381 	5898 
ZSCAN1	1073 	521 	641 	487 	569 	566 
FAM213A	19186 	14360 	9811 	10247 	38692 	28681 
IKBIP	686 	505 	418 	364 	1435 	975 
C12orf10	2076 	1353 	1233 	1048 	1603 	1885 
VBP1	4380 	2724 	3386 	2172 	3741 	3444 
SAR1B	12806 	11553 	7391 	7447 	3833 	4521 
